Channel,Count,Energy (keV)
694,199,-900.3196527229679
695,165,-900.0181531176008
696,210,-899.7166535122338
697,201,-899.4151539068669
698,198,-899.1136543014999
699,170,-898.8121546961329
700,191,-898.5106550907658
701,221,-898.2091554853988
702,203,-897.9076558800318
703,155,-897.6061562746648
704,200,-897.3046566692979
705,201,-897.0031570639308
706,179,-896.7016574585638
707,205,-896.4001578531968
708,189,-896.0986582478298
709,199,-895.7971586424628
710,210,-895.4956590370957
711,220,-895.1941594317287
712,194,-894.8926598263618
713,190,-894.5911602209947
714,173,-894.2896606156278
715,183,-893.9881610102607
716,200,-893.6866614048937
717,179,-893.3851617995267
718,181,-893.0836621941596
719,178,-892.7821625887926
720,205,-892.4806629834256
721,184,-892.1791633780587
722,170,-891.8776637726917
723,190,-891.5761641673246
724,184,-891.2746645619576
725,193,-890.9731649565906
726,207,-890.6716653512236
727,195,-890.3701657458566
728,186,-890.0686661404895
729,231,-889.7671665351226
730,188,-889.4656669297556
731,203,-889.1641673243886
732,201,-888.8626677190216
733,201,-888.5611681136545
734,184,-888.2596685082875
735,189,-887.9581689029205
736,214,-887.6566692975535
737,179,-887.3551696921866
738,179,-887.0536700868195
739,194,-886.7521704814525
740,169,-886.4506708760855
741,178,-886.1491712707185
742,214,-885.8476716653515
743,151,-885.5461720599844
744,197,-885.2446724546174
745,192,-884.9431728492505
746,206,-884.6416732438835
747,185,-884.3401736385165
748,197,-884.0386740331494
749,186,-883.7371744277824
750,200,-883.4356748224154
751,208,-883.1341752170483
752,187,-882.8326756116815
753,216,-882.5311760063144
754,207,-882.2296764009474
755,202,-881.9281767955804
756,183,-881.6266771902133
757,220,-881.3251775848463
758,218,-881.0236779794793
759,211,-880.7221783741123
760,166,-880.4206787687453
761,210,-880.1191791633782
762,189,-879.8176795580113
763,228,-879.5161799526443
764,194,-879.2146803472773
765,214,-878.9131807419103
766,184,-878.6116811365432
767,192,-878.3101815311762
768,200,-878.0086819258092
769,204,-877.7071823204423
770,203,-877.4056827150753
771,185,-877.1041831097082
772,205,-876.8026835043412
773,230,-876.5011838989742
774,198,-876.1996842936072
775,204,-875.8981846882402
776,189,-875.5966850828731
777,203,-875.2951854775062
778,220,-874.9936858721392
